Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2017,Underworld: Blood Wars,American,Anna Foerster,"Anna Foerster (director); Cory Goodman (screenplay); Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver, James Faulkner, Charles Dance","action, horror",https://en.wikipedia.org/wiki/Underworld:_Blood_Wars,"The remaining vampire covens are on the verge of being wiped out by the Lycans. Both species are searching for Selene: the vampires seeking justice for the deaths of Viktor and Marcus, and the Lycans, led by Marius, intending to use her to locate Eve, whose blood holds the key to building an army of vampire-werewolf hybrids.
Semira, a council member of the Eastern Coven, says she wants Selene to be granted clemency so that she can train the Eastern Coven's neophyte Death Dealers. To that end, Semira enlists Thomas to plead Selene's case before the full council. Thomas succeeds and Selene arrives at the Eastern Coven with David. Semira has her ally and lover Varga poison Selene, then slaughter the Death Dealers and blame Selene for it. Once Selene is under arrest, Semira begins draining her blood, which she intends to drink to gain Selene's power. Thomas and David try to rescue Selene, but they're attacked by Semira and Varga. They kill Thomas, but not before he's able to hold them off long enough for David and Selene to escape.
The pair seeks refuge with the Nordic Coven. They are pursued by Alexia, an Eastern Coven vampire dispatched by Semira. Selene and David arrive at Var Dohr, the stronghold of the Nordic Coven. Their Elder Vidar reveals that David was the son of the High Elder Amelia, making him the legitimate heir to the Eastern Coven.
Alexia, who is secretly Marius's lover, tells Marius that Selene is going to the Nordic Coven. Marius and the Lycans attack the Nordic Coven. The Nordic vampires, led by Vidar's daughter Lena, fight alongside Selene and David. Selene engages in single combat with Marius, who demands to know Eve’s location. Selene insists she does not know the location, which Alexia confirms after tasting some of Selene's blood. Marius sounds the retreat for his troops and Selene, wishing to pass on to the sacred world, slides herself under the now-broken ice of the lake.
Upon Alexia's return to the Eastern Coven's castle, she informs Semira of the events at the Nordic Coven. Semira kills her, revealing she knew of Alexia's treachery, and wanted Alexia to lead the Lycans to the Nordic Coven for her own ends. David returns to the Eastern Coven and presents himself as its rightful heir. Semira is arrested by none other than Varga, whose ultimate loyalty is to the rightful leadership of the coven. She is subsequently imprisoned in the dungeons.
The coven comes under attack by Marius and his forces. The Lycans blow holes in the castle's walls, letting in sunlight, killing some vampires. David continues fighting, only to find himself face to face with Marius. Selene suddenly reappears, in a Nordic appearance and coat over her normal Death Dealer uniform. It is revealed that the Nordic Coven revived her through their passing to sacred world ritual and in doing so new abilities like enhanced speed are enabled. She swiftly begins dispatching the Lycans, as the rest of the Nordic Coven, led by Lena, join the fight.
While Selene is making her way through the castle, the guards in the dungeons are killed by Semira, who then escapes from her cell. Selene and David find Marius, but David is waylaid by Semira. As Marius and Selene's fight continues, a drop of Marius's blood lands on Selene's lips. She is suddenly flooded by a series of blood memories in which Marius finds Michael. She sees Marius capturing Michael and slitting his throat in order to collect his blood and consume it. Believing that Michael is dead, she bites her own wrist, using her own blood memories of the time she has spent with Michael, Eve, and David. Although Marius has transformed, Selene rips out his spine, killing him instantly. Semira drank Selene's blood that she collected earlier and gained immunity to sunlight, but David manages to kill her while she was distracted with glee from the sunlight falling on her. He shows Marius's severed head to the Lycans, and forcefully tells them to retreat.
In the aftermath, Selene, David, and Lena are chosen as the new Elders. It is revealed that after being resurrected at the Nordic Coven, Selene was reunited with Eve, who has been following her mother through their telepathic link."
2017,Monster Trucks,American,Chris Wedge,"Chris Wedge (director); Jonathan Aibel, Glenn Berger, Derek Connolly, Matthew Robinson (screenplay); Lucas Till, Jane Levy, Amy Ryan, Holt McCallany, Rob Lowe, Danny Glover, Frank Whaley, Chad Willett, Barry Pepper, Thomas Lennon, Tucker Albrizzi","animation, adventure, sci-fi",https://en.wikipedia.org/wiki/Monster_Trucks_(film),"Terravex Oil is in the midst of a fracking operation near a lake in North Dakota, overseen by CEO Reece Tenneson and geologist Jim Dowd. The operation releases three subterranean creatures and destroys the drilling rig. Two are captured by Terravex, but one of them escapes the site. Meanwhile, high school senior Tripp Coley is looking for something to do to escape the life of his family; his parents are divorced, his mother Cindy is in a relationship with Rick the town's sheriff, who fails to take him seriously, and has taken up a part-time job at a local junkyard, where he builds a pickup truck in hopes of being able to leave his town. One night, Tripp encounters the escaped creature in the junkyard and captures it, but the creature escapes before he can seek authorities.
The next day Tripp, along with classmate Meredith, finds the creature has a diet of oil and it takes shelter within the hood of his truck. He quickly befriends him, names him Creech, and promises to help him get home. Tripp modifies the truck to give Creech more control over the truck as a makeshift engine, and Meredith becomes quite impressed and surprised at Creech's speed and talent. Meanwhile, Tenneson is still concerned about the incident at the drilling rig that exposed Creech, since similar experiments have revealed the other two creatures. He decides to protect the company's image by drilling poison into a hole leading to the underwater tunnels, and by sending hired mercenary Burke to kill their captured creatures, to the objection of Jim, as he finds the monsters have significant intelligence and emotions. Tripp and Meredith go see Tripp's father Wade to seek help.
However, when Tripp goes to check on Wade, he realizes he sold him out to Burke, and Tripp and Meredith escape in the truck with Creech, but not before destroying Wade's trailer. Tripp, Meredith and Creech are chased by Burke and his team and Rick. Tripp, Meredith and Creech manage to escape by jumping over a train, and camp at a hunting cabin owned by Meredith's father near the lake, while Rick chastises Burke for attempting to follow them himself.
When Creech gets the sense something bad will happen to the other creatures, he heads to the Terravex headquarters where the other creatures are being held captive. Tripp and Meredith follow Creech using Meredith's cellphone, as Trip left his phone in the truck. When they arrive, they find Creech's parents, but are attacked by Terravex workers. Creech arrives and is captured; Tripp and Meredith are taken to Tenneson, and he tells them to forget about Creech and his parents and has Burke escort them out.
Sympathetic to the creatures' plight, Jim decides to help Tripp and Meredith rescue the creatures. With the help of Tripp's junkyard boss, Mr. Weathers, they acquire two more trucks, one being a repossession from a rich teen who had failed to make payments, and another being the birthday present of his friend Sam Geldon, whose father owns a local car dealership. They modify the trucks for Creech's parents to control similar to Creech in Tripp's truck. Jim helps the group by stealing the Terravex truck on which the monsters, Creech's parents, are loaded on. At the dealership, the creatures take control of the modified trucks and the group make their escape up the mountain leading to the tunnels.
Terravex gives chase up the mountain and the group escape by using the trucks to jump over the edge of the mountain. On the way, Rick helps Tripp and the group escape from Burke. After realizing the poison has been inserted, Tripp gets into a head-on battle with Burke, who attempts to push him into the drilling hole, but ends when Tripp and Creech overturn Burke's truck, destroying the poison machine and killing Burke when his truck is thrown into the equipment, only for Tripp to fall into the hole. Creech saves him from drowning before he and his parents depart back home and Terravex is exposed by the group for the experimentation that was harming the creatures' habitat. Tenneson is arrested, Tripp and Rick develop on good terms and together build a new engine for the truck, and Tripp and Meredith begin a relationship."
2017,The Bye Bye Man,American,Stacy Title,"Stacy Title (director); Jonathan Penner (screenplay); Douglas Smith, Doug Jones, Michael Trucco, Cressida Bonas, Lucien Laviscount, Carrie-Anne Moss, Faye Dunaway",horror,https://en.wikipedia.org/wiki/The_Bye_Bye_Man,"In 1969, a mass murder occurs in which a man kills people on his block. As he shoots the neighbors, he continuously asks if anyone spoke about ""the name"" which cannot be said. He also repeats the same thing over and over: ""Don't say it, don't think it; don't think it, don't say it.""
In present day, Elliot, his girlfriend Sasha, and best friend John move into an off-campus house not far from their college. Soon, mysterious things start to happen, such as Sasha developing a strange cough and Elliot finding coins in a nightstand that continually reappear. Elliot also finds writing consisting of ""don't think it, don't say it"", and a name: the Bye Bye Man. During a seance involving their friend Kim, the name is mentioned.
Sasha continues to become sick as Elliot and John start experiencing hallucinations and stranger activity. Elliot begins to suspect that Sasha is cheating on him with John. Elliot's brother Virgil also becomes suspicious. Kim is killed after she is struck by a train. Elliot is taken in for questioning by Detective Shaw, and is released when Kim's suicide note reveals she killed her roommate and was planning on killing Elliot, Sasha, and John.
The librarian shows Elliot a dossier about the Bye Bye Man; a teenager killed his family and told a reporter that the Bye Bye Man made him do it. The same reporter later became the mass shooter during the '60s, who killed himself after realizing people knew about the Bye Bye Man. Elliot also visits the widow of the reporter, who reveals that the curse causes insanity, hallucinations, and eventually death. Signs of his coming are coins mysteriously appearing, sounds of a train, and a large, skinless hound. The only way to prevent it is to not think of his name or speak of him. If someone already knows, they must be killed. The librarian is hit by Elliot's car by accident, after she killed everyone in her home, coming for Elliot next.
Sasha and John are also suffering from the hallucinations. Elliot finds John stabbing Sasha. He shoots John, but after he picks up the corpse, it is revealed to have been Sasha that was stabbing John; therefore, Elliot killed Sasha. The Bye Bye Man appears and gives Elliot a hallucination. Elliot keeps Virgil and his daughter Alice away long enough for him to shoot himself with a gun. Virgil and Alice get away before the entire house goes up in flames.
While riding home, Alice reveals she found the coins from the nightstand near the trash, along with the writing. However, she could not read it due to her poor night vision. Detective Shaw arrives at the scene, where John is found to be alive but wounded. He struggles to whisper ""Bye... Bye..."" but the screen cuts to black before the sentence is finished."
2017,Sleepless,American,Baran bo Odar,"Baran bo Odar (director); Andrea Berloff (screenplay); Jamie Foxx, T.I., Drew Sidora, Lloyd Banks, Gabrielle Union, David Harbour, Young Jeezy, Michelle Monaghan, Scoot McNairy, Sala Baker","action, thriller",https://en.wikipedia.org/wiki/Sleepless_(2017_film),"In Las Vegas, vice LVMPD policemen Vincent Downs and Sean Cass rob a shipment of cocaine belonging to entrepreneur Stanley Rubino, who intended to sell it to mobster Rob Novak, the son of a powerful mob boss. They volunteer to investigate the robbery in order to cover up their involvement, clashing with Internal Affairs investigators Jennifer Bryant and Doug Dennison, who are suspicious of their involvement. It is also revealed that Vincent is estranged from his wife Dena, who is getting remarried, and has minimal involvement in the life of his 16-year-old son Thomas.
While driving Thomas to his soccer game, Vincent is ambushed by Rubino's men, who stab him in the abdomen and kidnap his son, demanding the stolen cocaine back in exchange for Thomas's life. Vincent retrieves the cocaine from Cass, places it in a duffel bag and leaves it in the ventilation shaft of one of the bathrooms in Rubino's casino, hoping he can negotiate his son's release before handing over his leverage. He is unknowingly followed by Bryant, who, now convinced he his a dirty cop, retrieves it and hides it in the women's locker room nearby. Upon learning that the drugs were moved, Vincent is forced to present Rubino with bags of sugar to ensure Thomas's safety, but Novak uncovers his ruse and Thomas is recaptured by Rubino's men, while Vincent manages to escape. Meanwhile, after coming up empty while searching the casino for Downs, Dennison is convinced he's gotten away, and directs Bryant to go home and get some sleep. Bryant gives him the key to the women's locker with the cocaine, and heads for the exit.
Vincent infiltrates the casino in his police uniform, but crosses paths with Bryant on her way out and chased into one of the hotel rooms. They fight, and he subdues her before revealing he's been undercover on behalf of Internal Affairs for the last two years to dismantle the crime ring within the police department. He knows his partner Cass is a drug-runner, knew details about a previous investigation by Bryant, and is now attempting to find the senior member of law enforcement that is covering everything up. A skeptical Bryant directs him to the locker room to retrieve the cocaine, but the drugs have recently been removed by Dennison. Dennison ambushes Vincent, but is ultimately overpowered and knocked unconscious. Meanwhile, Thomas escapes and steals Rubino's cellphone to contact Vincent, but is quietly being followed by Rubino and his men who allow it all to happen in an attempt to lure Vincent into a trap. Elsewhere, Dena finds out Vincent and Thomas are in danger and heads to the casino.
Cass arrives and confronts Vincent about his Internal Affairs involvement, but then saves Vincent from one of Novak's men. He is shot in the process and presumed dead. Going through Cass' phone, Vincent finds out Dennison is the mole in the force, is on Novak's payroll, and informed Cass that Vincent was Internal Affairs and needed to be killed. Bryant and Dennison later find a severely injured Cass in the garage. While Bryant checks the vitals of Novak's man, Dennison privately questions Cass on whether Vincent is aware of his involvement and finishes him off when Cass refuses to answer. Vincent and Thomas reunite just as Novak begins shooting up the casino and escape to the parking garage. Meanwhile, Bryant arrests Rubino.
Vincent and Thomas attempt to escape in a stolen car, but are ambushed by Novak and his men, leading to a violent shootout. Dena arrives and kills one of Novak's men before Novak corners them. He shoots Vincent in the chest, but Vincent survives and fatally shoots Novak. Vincent then contacts Bryant and alerts her of Dennison's corruption. Realizing he's been exposed, Dennison draws his gun, and shoots Bryant and Rubino and forces the police cruiser they're in to crash.
Dennison crawls out of the wreckage claiming Rubino killed Bryant and the driver with a stolen gun before being shot by Dennison, but Bryant has managed to survive and exposes Dennison, who is arrested by the arriving policemen. Vincent and Bryant are taken to the same hospital, where they make amends and congratulate each other on the job. Meanwhile, a corrupt DEA Agent, seen earlier in the film, contacts Novak's father and informs him there's been a problem."
2017,100 Streets,American,Jim O'Hanlon,"Jim O'Hanlon (director); Leon F. Butler (screenplay); Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott",drama,https://en.wikipedia.org/wiki/100_Streets,The film centers on three characters who have to meet in London for special reasons and under unlikely circumstances.
2017,The Book of Love,American,Bill Purple,"Bill Purple (director/screenplay); Jason Sudeikis, Jessica Biel, Maisie Williams, Mary Steenburgen, Orlando Jones, Paul Reiser","drama, comedy",https://en.wikipedia.org/wiki/The_Book_of_Love_(film),"After the accidental death of his free-spirited pregnant wife, Penny, reserved architect Henry struggles to find meaning in his life and in the work that once consumed him. As he continues to work on the house he and Penny were building together, Henry is drawn to a mysterious young runaway named Millie whom Penny had asked Henry to help. Though Millie mistrusts Henry at first, the two build a tentative friendship as she reveals her ambition to build a raft to go find her father who was lost at sea. Taking on the father role he was meant to have, Henry neglects his job and other responsibilities to help Millie on her quest. As they work together, he comes to understand that she can help him to heal as much as he can help her. As Millie prepares to leave, Henry is briefly angered when he discovers that Millie possesses the first photograph Penny ever took of the two of them and the news article about her death, but this anger is forgotten when Millie is struck in the head by her sail and nearly drowns. Learning that Millie simply saw Penny's accident, Henry expresses gratitude that someone else was with his wife when she died. In the end, Henry joins Millie as they set sail together across the Atlantic."
2017,Split,American,M. Night Shyamalan,"M. Night Shyamalan (director/screenplay); James McAvoy, Anya Taylor-Joy, Betty Buckley, Jessica Sula, Haley Lu Richardson, Kim Director, Lyne Renée, Brad William Henke, Neal Huff, Sebastian Arcelus","horror, thriller, drama",https://en.wikipedia.org/wiki/Split_(2016_American_film),"Casey Cooke is an emotionally withdrawn teenager, having been molested as a child by her uncle John, who became her legal guardian after her father's death. While hanging out with her classmates, Claire and Marcia, the three are kidnapped by Kevin Wendell Crumb, a man suffering from dissociative identity disorder. Kevin has been evaluated by psychologist Dr. Karen Fletcher, who discovered that he formed multiple personalities as a means to cope with the abuse he suffered at the hands of his mother. While Kevin appears otherwise stable, Dr. Fletcher has identified 23 distinct personalities within Kevin; in his mind, these personalities sit in chairs in a room, waiting for their turn ""in the light"" (controlling Kevin's body) as directed by ""Barry"", the dominant personality. She has also found that Kevin's physiology changes when a new personality comes into the light. Recently, ""Barry"" has refused to allow ""Dennis"" or ""Patricia"" their turns, in part due to Dennis' tendencies towards bothering underage girls and Patricia's undesirable traits, and also because both appear to worship ""The Beast"", a yet-unseen 24th personality. Regardless of which personality is controlling Kevin, Dr. Fletcher can call forth Kevin's own personality by speaking his full name to him.
Kevin takes the girls to his underground quarters and secures them in a cell. They recognize his dissociative disorder, and Claire attempts to use this against Kevin to escape but is caught by ""Dennis"" and segregated from the others. Over several days, Kevin leaves them locked up while he goes off to work and attends appointments with Dr. Fletcher. During these meetings, Dr. Fletcher recognizes that ""Dennis"" has seemingly taken over the dominant personality from ""Barry"", though he tries to act as ""Barry"" to fool her. She recalls an incident that ""Barry"" told her about a month before, where two teenage girls had walked up to him, taken his hands and placed them on their breasts, which may have triggered ""Dennis"" to take over. Dr. Fletcher suspects that Kevin, as ""Dennis"", is responsible for the three missing teenagers.
During this time, Marcia also attempts to escape but is caught by ""Patricia"" and segregated. Casey befriends ""Hedwig"", a young boy personality of Kevin's; it is later revealed that ""Hedwig"" has complete control over ""the light"", and has provided ""Dennis"" and ""Patricia"" with control. She gets ""Hedwig"" to let her out of her cell to see his bedroom, believing that there may be a means of escape through ""Hedwig's"" window but finds that it is only a drawing of a window. She is able to convince ""Hedwig"" to give her a walkie-talkie. She uses it to call for help, but the person at the other end of the walkie doesn't believe her, thinking that someone is playing a joke. Before she can convince the person that she is serious, ""Patricia"" takes over Kevin's body and subdues Casey.
Dr. Fletcher shows up at Kevin's home, where he reveals that ""The Beast"" is real and that he has met him. Suspicious of ""Dennis"", Dr. Fletcher feigns needing the bathroom to look around his home, where she finds Claire in her cell, but before she can do anything, ""Dennis"" catches her, sprays her face with a sedative in an aerosol can, and secures her in a separate room. He then leaves. While out, ""The Beast"" personality takes over for the first time, giving Kevin super-human abilities, while Claire and Marcia attempt to escape from their cells. Dr. Fletcher regains consciousness long enough to write out Kevin's full name on a piece of paper before ""The Beast"" returns and kills her. Casey escapes from her cell, only to find that ""The Beast"" has already attacked and eaten Marcia and watches in horror as he does the same to Claire.
Casey finds Dr. Fletcher's body and her note on the piece of paper. ""The Beast"" approaches her, but she calls out Kevin's full name, bringing Kevin forth. Upon learning of the situation and realizing that he hasn't been in control of his body for two years, Kevin instructs Casey to kill him with his shotgun. Following this statement, all 24 personalities begin warring for control of ""the light"", but shortly thereafter ""The Beast"" personality takes hold again. Casey escapes from his quarters into an underground tunnel and shoots him twice, but the shells have little effect. She locks herself in a small caged area. ""The Beast"" finds her and is about to pull the bars open to attack her but sees faded scars across her body, a sign of her past emotional turmoil and self-harm. Having previously declared his plans to rid the world of the ""untouched"", those whose hearts are impure because they have never suffered in their lives, he considers Casey to be ""pure"" and spares her, disappearing from the tunnels.
Sometime later, Casey is rescued and learns that she was being held at the Philadelphia Zoo, where Kevin had been an employee. Casey is asked by a police officer if she is ready to return home with her uncle. She hesitates to answer. In another hideout, ""Dennis"", ""Patricia"", and ""Hedwig"" exert collective control over Kevin's body and admire the power of ""The Beast"" and their plans to change the world.
In a diner, several patrons watch the news as a reporter states that Kevin's personalities have earned him the nickname ""The Horde"". A female patron notes the similarity between Kevin and a wheelchair-using criminal who was incarcerated 15 years earlier. As she tries to remember the nickname he was given, the man sitting next to her tells her that it was ""Mr. Glass""."
2017,xXx: Return of Xander Cage,American,D. J. Caruso,"D. J. Caruso (director); F. Scott Frazier, Chad St. John (screenplay); Vin Diesel, Samuel L. Jackson, Donnie Yen, Deepika Padukone, Kris Wu, Nina Dobrev, Tony Jaa, Ruby Rose, Toni Collette, Nicky Jam, Rory McCann, Al Sapienza, Michael Bisping, Ariadna Gutiérrez, Hermione Corfield","action, adventure",https://en.wikipedia.org/wiki/XXx:_Return_of_Xander_Cage,"NSA Agent Augustus Gibbons attempts to recruit footballer Neymar Jr. for the xXx program when a satellite crashes in Brazil, apparently killing them both. Shortly afterwards, a team of four skilled individuals led by Xiang infiltrate a highly guarded CIA office in New York City and retrieve ""Pandora's Box"", a device which is capable of controlling satellites to crash at specific locations as warheads. CIA Agent Jane Marke tracks down former xXx operative Xander Cage, who faked his death and has been living in self-imposed exile in the Dominican Republic, and convinces him to return to active service to retrieve the device.
In London, after enlisting an old friend, Ainsley, for help, Cage tracks down the attackers to the Philippines. At an RAF outpost in Lakenheath, a unit of Special Forces operatives led by Paul Donovan is assigned to help Xander, but he rejects them in favour of his own team, composed of sharpshooter Adele Wolff, DJ Harvard ""Nicks"" Zhou, and getaway driver Tennyson ""The Torch."" They are also aided by introverted weapons specialist Becky Clearidge. The team locates Xiang and his teammates Serena, Talon and Hawk, and Cage meets Xiang in an underground nightclub on a remote island, where Xiang reveals that his team are also xXx agents, recruited by Gibbons. He claims to have stolen Pandora's Box to prevent its misuse, although Serena believes they should destroy it.
Shortly after, Russian soldiers raid the island. The group manages to fend off the attackers, while Xiang manages to escape with Pandora's Box. Xander intercepts Xiang and chases him to a nearby beach. Serena betrays him, destroys the Box and joins Xander's team, while Xiang escapes and regroups with Talon and Hawk. After another satellite crash in the Olympic Stadium in Moscow, Marke determines that the device that Serena destroyed was only a prototype, and that both teams have been wasting time, while Cage determines that CIA Director Anderson is involved in the conspiracy and that the actual Pandora's Box is in his hands.
Cage's and Xiang's teams race to reach Anderson first in Detroit, tracking the unique signal of Pandora's Box, with Xander and Xiang fighting and later protecting each other from Anderson's men. Xander confronts Anderson, who admits to causing the satellite crash that killed Gibbons. Anderson is then shot dead by Wolff. Cage reluctantly allows the CIA to arrest Xiang in an attempt to frame him for the Moscow attack, and they secure the box. En route back to headquarters, Marke announces that the xXx Program has been shut down and shoots Xander in order to keep it for herself. She then sends a group of assassins to eliminate the others, who are awaiting extraction at a local NSA warehouse. They join forces to fend off their attackers and receive assistance from another former xXx operative, Darius Stone.
Xander survives due to a bulletproof vest Becky had given him earlier and joins forces with Xiang to fight Donovan and his men, while Marke uses the box to send a satellite plummeting towards the warehouse where the teams are fighting. Xander ejects Donovan from the plane, while Xiang sends Marke falling to her death and then parachutes out with the box in hand. Despite Becky's attempts to halt the signal, they cannot stop the satellite from crashing. In a last attempt to protect them, Xander crashes the plane into the approaching satellite before it reaches the warehouse and jumps out, using the cargo load to safely reach the ground. Xiang gives Cage the device, and Xander decides to destroy it. The team attends Gibbons' funeral, where Xander is approached by Gibbons himself, who faked his death and is now rebuilding the xXx Program on his own, starting with Neymar as the newest recruit. Gibbons compliments Xander on a job well done and Xander decides to continue in service, ready for a new mission to watch the watchers and preserve liberty."
2017,The Resurrection of Gavin Stone,American,Dallas Jenkins,"Dallas Jenkins (director); Andrea Gyertson Nasfell (screenplay); Brett Dalton, Anjelah Johnson, Neil Flynn, Shawn Michaels, D. B. Sweeney","comedy, drama",https://en.wikipedia.org/wiki/The_Resurrection_of_Gavin_Stone,"Former child star Gavin Stone is now a washed-up, partied-out man. When he is forced to return home, he pretends to be a Christian so he can portray Jesus in an Easter play being produced by a megachurch.[3]"
2017,Trespass Against Us,American,Adam Smith,"Adam Smith (director); Alastair Siddons (screenplay); Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Killian Scott","crime, drama, thriller",https://en.wikipedia.org/wiki/Trespass_Against_Us,"To give a better future to his son, Chad Cutler (Michael Fassbender) tries to get out of the criminal business that his family has run for generations. However, his own father Colby (Brendan Gleeson) considers doing so a betrayal, so it will not be easy for Chad to leave a well-rooted criminal system."
